Audience segment,Audience segment state,Campaign,Ad group,Currency code,Ad group default max. CPC,Audience segment max CPC,Audience Segment Bid adj.,Targeting Setting,Clicks,Impr.,CTR,Avg. CPC,Cost,Avg. CPM
Parental Status › Parents › Parents of Preschoolers (4-5 years),Enabled,Warm_Weather_03-10,Flea & Tick,USD,0.01,0, --,Observation,0,0,0,0,0.00,0
Parental Status › Parents › Parents of Preschoolers (4-5 years),Enabled,Warm_Weather_03-10,General Pest,USD,0.01,0, --,Observation,0,0,0,0,0.00,0
Parental Status › Parents › Parents of Preschoolers (4-5 years),Enabled,Warm_Weather_03-10,Mole & Gopher,USD,0.01,0, --,Observation,0,0,0,0,0.00,0
Parental Status › Parents › Parents of Preschoolers (4-5 years),Enabled,Warm_Weather_03-10,Mosquito,USD,0.01,0, --,Observation,0,0,0,0,0.00,0
Parental Status › Parents › Parents of Preschoolers (4-5 years),Enabled,Warm_Weather_03-10,Rodent,USD,0.01,0, --,Observation,0,0,0,0,0.00,0
Parental Status › Parents › Parents of Preschoolers (4-5 years),Enabled,Warm_Weather_03-10,Termite,USD,0.01,0, --,Observation,0,0,0,0,0.00,0
Parental Status › Parents › Parents of Toddlers (1-3 years),Enabled,Warm_Weather_03-10,Ant,USD,0.01,0, --,Observation,0,0,0,0,0.00,0
Parental Status › Parents › Parents of Toddlers (1-3 years),Enabled,Warm_Weather_03-10,Flea & Tick,USD,0.01,0, --,Observation,0,0,0,0,0.00,0
Parental Status › Parents › Parents of Toddlers (1-3 years),Enabled,Warm_Weather_03-10,General Pest,USD,0.01,0, --,Observation,0,1,0.00%,0,0.00,0.00
Parental Status › Parents › Parents of Toddlers (1-3 years),Enabled,Warm_Weather_03-10,Mole & Gopher,USD,0.01,0, --,Observation,0,1,0.00%,0,0.00,0.00
Parental Status › Parents › Parents of Toddlers (1-3 years),Enabled,Warm_Weather_03-10,Mosquito,USD,0.01,0, --,Observation,0,0,0,0,0.00,0
Parental Status › Parents › Parents of Toddlers (1-3 years),Enabled,Warm_Weather_03-10,Rodent,USD,0.01,0, --,Observation,0,0,0,0,0.00,0
Parental Status › Parents › Parents of Toddlers (1-3 years),Enabled,Warm_Weather_03-10,Termite,USD,0.01,0, --,Observation,0,0,0,0,0.00,0
Home & Garden › Home & Garden Services › Pest Control Services,Enabled,[TOP] Awareness_Display_Gopher&Mole,Ad group 1,USD,0.01,0.01, --,Targeting,0,20,0.00%,0,0.05,2.41
Home & Garden › Home & Garden Services › Pest Control Services,Enabled,BedBug_Leads_New,BB_New,USD,0.01,0, --,Observation,0,17,0.00%,0,0.00,0.00
Home & Garden › Home & Garden Services › Pest Control Services,Enabled,New_Rats&Mice_Leads,Ad group 1,USD,0.01,0, --,Observation,0,1,0.00%,0,0.00,0.00
Home & Garden › Home & Garden Services › Pest Control Services,Enabled,Priority Pest,Ants,USD,0.01,0, --,Observation,39,763,5.11%,1.38,53.66,70.33
Home & Garden › Home & Garden Services › Pest Control Services,Enabled,Priority Pest,Bed Bugs,USD,0.01,0, --,Observation,554,"9,794",5.66%,3.77,2088.23,213.22
Home & Garden › Home & Garden Services › Pest Control Services,Enabled,Priority Pest,Bedbugs - Dyn,USD,0.01,0, --,Observation,22,328,6.71%,10.32,227.08,692.32
Home & Garden › Home & Garden Services › Pest Control Services,Enabled,Priority Pest,Cockroach - Dyn,USD,0.01,0, --,Observation,0,9,0.00%,0,0.00,0.00
Home & Garden › Home & Garden Services › Pest Control Services,Enabled,Priority Pest,Cockroaches,USD,0.01,0, --,Observation,151,"2,888",5.23%,2.83,426.63,147.73
Home & Garden › Home & Garden Services › Pest Control Services,Enabled,Priority Pest,Comm Pest Control,USD,0.01,0, --,Observation,11,380,2.89%,3.90,42.89,112.87
Home & Garden › Home & Garden Services › Pest Control Services,Enabled,Priority Pest,Comm Pest Control - Dyn,USD,0.01,0, --,Observation,0,3,0.00%,0,0.00,0.00
Home & Garden › Home & Garden Services › Pest Control Services,Enabled,Priority Pest,Flea and Tick,USD,0.01,0, --,Observation,119,"2,142",5.56%,1.90,226.05,105.53
Home & Garden › Home & Garden Services › Pest Control Services,Enabled,Priority Pest,Insects,USD,0.01,0, --,Observation,41,"1,053",3.89%,2.66,109.24,103.74
Home & Garden › Home & Garden Services › Pest Control Services,Enabled,Priority Pest,Mole and Gopher,USD,0.01,0, --,Observation,228,"3,550",6.42%,3.51,799.41,225.19
Home & Garden › Home & Garden Services › Pest Control Services,Enabled,Priority Pest,Mole and Gopher - Dyn,USD,0.01,0, --,Observation,4,21,19.05%,7.65,30.60,1457.14
Home & Garden › Home & Garden Services › Pest Control Services,Enabled,Priority Pest,Mosquito Removal,USD,0.01,0, --,Observation,66,"1,610",4.10%,1.35,89.42,55.54
Home & Garden › Home & Garden Services › Pest Control Services,Enabled,Priority Pest,Priority Pest - dynamic ad group,USD,0.01,0, --,Observation,3,18,16.67%,1.09,3.27,181.67
Home & Garden › Home & Garden Services › Pest Control Services,Enabled,Priority Pest,Rats & Mice,USD,0.01,0, --,Observation,264,"4,932",5.35%,4.20,1108.18,224.69
Home & Garden › Home & Garden Services › Pest Control Services,Enabled,Priority Pest,Rats and Mice - Dyn,USD,0.01,0, --,Observation,3,15,20.00%,13.09,39.27,2618.00
Home & Garden › Home & Garden Services › Pest Control Services,Enabled,Priority Pest,Res Pest Control,USD,0.01,0, --,Observation,238,"4,773",4.99%,3.37,801.41,167.90
Home & Garden › Home & Garden Services › Pest Control Services,Enabled,Priority Pest,Res Pest Control - Dyn,USD,0.01,0, --,Observation,3,99,3.03%,6.78,20.34,205.45
Home & Garden › Home & Garden Services › Pest Control Services,Enabled,Priority Pest,SKAG | gopher poison | BROAD,USD,0.01,0, --,Observation,0,4,0.00%,0,0.00,0.00
Home & Garden › Home & Garden Services › Pest Control Services,Enabled,Priority Pest,SKAG | how to remove moles | BROAD,USD,0.01,0, --,Observation,0,9,0.00%,0,0.00,0.00
Home & Garden › Home & Garden Services › Pest Control Services,Enabled,Priority Pest,SKAG | tick removal | BROAD,USD,0.01,0, --,Observation,0,0,0,0,0.00,0
Home & Garden › Home & Garden Services › Pest Control Services,Enabled,Priority Pest,Spiders,USD,0.01,0, --,Observation,26,477,5.45%,2.00,52.11,109.25
Home & Garden › Home & Garden Services › Pest Control Services,Enabled,Priority Pest,Termite Inspection,USD,0.01,0, --,Observation,9,180,5.00%,6.87,61.80,343.33
Home & Garden › Home & Garden Services › Pest Control Services,Enabled,Priority Pest,Termite Inspection,USD,0.01,0, --,Observation,0,0,0,0,0.00,0
Home & Garden › Home & Garden Services › Pest Control Services,Enabled,Priority Pest,Termite Inspection,USD,0.01,0, --,Observation,0,0,0,0,0.00,0
Home & Garden › Home & Garden Services › Pest Control Services,Enabled,Priority Pest,Termite Inspection - Dyn,USD,0.01,0, --,Observation,0,17,0.00%,0,0.00,0.00
Home & Garden › Home & Garden Services › Pest Control Services,Enabled,Priority Pest,Termites,USD,0.01,0, --,Observation,30,860,3.49%,4.87,145.98,169.74
